Site,site_lat,site_long,district,district_long,district_lat,year,count
hodan,2.03289008,45.31552108,Camp,,,2013,2
hodan,2.03289008,45.31552108,Xamar Weyne,45.34,2.03373112,2012,18
hodan,2.03289008,45.31552108,Xamar Weyne,45.34,2.03373112,2013,1
hodan,2.03289008,45.31552108,Lower Juba,41.88302,-0.04197,2012,3
hodan,2.03289008,45.31552108,Baidoa,43.6519,3.1141,2012,9
hodan,2.03289008,45.31552108,Galgaduud,46.81808,5.03349,2012,1
hodan,2.03289008,45.31552108,Bur Hakaba,44.0794,2.7991,2012,1
hodan,2.03289008,45.31552108,Boondheere,45.34,2.045550458,2012,9
hodan,2.03289008,45.31552108,Bari,50.16365,10.30626,2012,1
hodan,2.03289008,45.31552108,Bakool,43.95077,4.20523,2012,4
hodan,2.03289008,45.31552108,Balcad,45.3863,2.3584,2012,3
hodan,2.03289008,45.31552108,Buur,,,2012,1
hodan,2.03289008,45.31552108,Jowhar,45.5016,2.7774,2012,1
hodan,2.03289008,45.31552108,Macalin,,,2013,1
hodan,2.03289008,45.31552108,Machia,,,2013,2
hodan,2.03289008,45.31552108,Idp,,,2013,1
hodan,2.03289008,45.31552108,Hudur,43.8888,4.1228,2013,1
hodan,2.03289008,45.31552108,Degmada,,,2013,2
hodan,2.03289008,45.31552108,Warta,,,2013,1
hodan,2.03289008,45.31552108,Huruwa,,,2013,1
hodan,2.03289008,45.31552108,Gedo,41.97805,2.89647,2013,1
hodan,2.03289008,45.31552108,Macho,,,2013,1
hodan,2.03289008,45.31552108,Shibis,45.35,2.047637896,2012,1
hodan,2.03289008,45.31552108,Shibis,45.35,2.047637896,2013,1
hodan,2.03289008,45.31552108,Shangani,45.35,2.03373112,2012,1
hodan,2.03289008,45.31552108,Karaan,45.39,2.065160176,2012,1
hodan,2.03289008,45.31552108,Karaan,45.39,2.065160176,2013,3
hodan,2.03289008,45.31552108,Hiraan,45.2994,4.321,2012,5
hodan,2.03289008,45.31552108,Bakaro,,,2012,1
hodan,2.03289008,45.31552108,W/Degmada,,,2012,1
hodan,2.03289008,45.31552108,W/Ceelka,,,2012,1
hodan,2.03289008,45.31552108,Kismayo,42.5461,0.356,2013,1
Kahda,2.059891418,45.2677939,Tabelaha,,,2015,1541
Kahda,2.059891418,45.2677939,Kahda,45.2677939,2.059891418,2013,554
Kahda,2.059891418,45.2677939,Kahda,45.2677939,2.059891418,2015,691
Kahda,2.059891418,45.2677939,Dharkenley,45.25,2.009499426,2013,46
Kahda,2.059891418,45.2677939,Dharkenley,45.25,2.009499426,2015,1
Kahda,2.059891418,45.2677939,Madino,42.60051,0.82171,2013,5
Kahda,2.059891418,45.2677939,Madino,42.60051,0.82171,2015,1
Kahda,2.059891418,45.2677939,Juba Hoose,41.88302,-0.04197,2015,1
Kahda,2.059891418,45.2677939,Shabelle Hoose,44.34197,1.79194,2015,2
kahda,2.059891418,45.2677939,Idp,,,2013,27
kahda,2.059891418,45.2677939,Wardhiigleey,45.33,2.054921387,2013,1906
kahda,2.059891418,45.2677939,Wardhiigleey,45.33,2.054921387,2014,4581
Lafoole,3.38148,45.49184,Lafole,45.16352,2.09955,2014,110
Lafoole,3.38148,45.49184,Lafole,45.16352,2.09955,2015,2555
Lafoole,3.38148,45.49184,3Buurod,,,2015,89
Lafoole,3.38148,45.49184,Ceelasha,,,2015,264
Lafoole,3.38148,45.49184,Siinka Dheer,,,2015,7
